idiom,def
blow your own trumpet,act in a boastful selfpromoting manner
blown to smithereens,disintegrated into small fragments by a sudden impact or explosion
blue blood,the blood that which flows in the veins of old and aristocratic families
blue moon once in a,very rarely
blueplate special,a set meal provided at a reduced price
bobs your uncle,bobs your uncle  is an archetypically english phrase and is so familiar here for it to have spawned jokey variants as take the mickey has an extended alternative extract the michael bobs your uncle is sometimes extended to roberts your aunties husband people  in other english speaking countries wont be so familiar with the phrase so ill give some examples that may explain the meaning
bode well,to foreshadow a successful outcome indicated by some circumstance or event
bodice ripper,a bodice ripper is a sexually suggestive romantic novel usually in a historical setting and always with a plot involving the seduction of the heroine
body  phrases related to the human body,all of the phrases below contain a reference to a part of the human body  brain shoulder face toe etc there are more of them than you might expect around 600 here and no doubt you can think of a few others
body surfing,surfing aka surfboarding is in its literal meaning the riding of a wave while standing or lying on a surfboard
bog standard,the basic unrefined article
bold as brass,the simile as bold as brass means very bold blatant
bolt from the blue,"a
complete surprise like
a bolt of lightning from a clear blue sky"
bone dry,completely dry
bone idle,utterly lazy
bone up on,to study hard usually in preparation for a test
booby prize,a prize given to make fun of the loser in a contest or game
booby trap,a practical joke also a concealed and possibly lethal trap
too big for your boots,conceited having a too high opinion of oneself
booze cruise,"a
sea trip from england to continental europe to buy cheap drink"
born again,"christians
 who affirm their renewed and strengthened commitment to their religion are
 called born again to be born again is to be born
 of the spirit the first birth being the physical birth of
 the flesh"
born with a silver spoon in ones mouth,to be born with a silver spoon in ones mouth is to be born into a wealthy and privileged family
born within the sound of bow bells,literal meaning
boss eyed,crosseyed or squinty
bottle out,give up an attempt at something after losing ones nerve
bottom drawer,a bottom drawer is a place where valuables are stored especially  clothes linen etc typically this was the place that a woman might store items in preparation for her marriage literally the lowest drawer of a chest of drawers
bought the farm,to die particularly in an accident or military action
bowled a maiden over,to bowl a maiden over is to sweep a woman off her feet with a romantic gesture
box and cox,to take turns
boxseat  in the,"in
a superior or advantageous position"
boxing day,see also our list of christmas card sayings and expressions
boys will be boys,the proverbial saying boys will be boys is used to express resignation at or even encouragement of  the bad behaviour of boys imagining it to be an inevitable consequence of their gender
brand spanking new,entirely new
brass monkey weather,"if its said to be cold enough to freeze the balls off a brass monkey it is very
cold indeed"
brass tacks  get down to,engage with the basic facts or realities
bread always falls buttered side down,the buttered side down view of life is one that is pessimistic and fatalistic
bread of life  the,a name used by christians to denote jesus christ
break a leg,the phrase break a leg is a jovial encouragement said to actors for good luck before they go on stage especially on an opening night
break the ice,to break down social formality and stiffness
bricks and clicks,a sales model that utilizes both traditional stores bricks and internet trading clicks
bring home the bacon,to earn money particularly for ones family to be successful especially financially successful
broad in the beam,having wide hips or buttocks
broke  if it aint dont fix it,if something is working adequately well leave it alone
brook no truck with,to reject or to have nothing to do with
bronx cheer,a sound of contempt or derision made by blowing through closed lips usually with the tongue protruding
brown as a berry,entirely or very brown often referring to a suntanned skin
browned off,to be browned off is to be bored or fedup
brownie points,a notional mark of achievement or kudos for performing some creditable act
brummagem screwdriver,a brummagem screwdriver is a disparaging term for a hammer
brush  as daft as a,to be as daft as a brush is to be very stupid or foolish
bubble and squeak,in the 18th century this was a dish of fried meat and cabbage nowadays it is more often fried potatoes and other vegetables usually greens
buck stops here  the,the slogan the buck stops here is a promise that responsibility will not be passed on to anyone else
bucket list,a list of things that a person wants to experience or achieve before they die
buckle down,apply oneself to hard work
build a better mousetrap and the world will beat a path to your door,to build a better mousetrap is to make an improvement to an existing product or service it especially refers to simple and straightforward changes that are obvious advances on earlier devices
bugger bognor,no information
buggins turn,buggins turn is the method of appointing people to positions based on rotation rather than on merit
bullet  bit the bite the,accept the inevitable impending hardship and endure the resulting pain with fortitude
bums on seats,the paying audience at a venue with seating usually a theatre or cinema
bun in the oven,to have a bun in the oven is to be pregnant oven  womb baby  bun
bunch of fives  a,"a bunch of fives is a slang term for
          a fist especially one used for punching the
          fives are the four fingers and the thumb"
bunny boiler,"an
obsessive and dangerous female in pursuit of a lover who has spurned her"
burn the candle at both ends,to live at a hectic pace
burning the midnight oil,to burn the midnight oil is to work late into the night originally this was by the light of an oil lamp or candle more recently the phrase is used figuratively alluding back its use before electric lighting
bury the hatchet,to bury the hatchett is to settle your differences with an adversary
bury your head in the sand,refuse to confront or acknowledge a problem
busy as a bee,very busy
butt end of the stick  the,to get the short end of the stick is to come off worst in a bargain or contest
butter no parsnips  fine words,the proverb fine words butter no parsnips means that nothing concrete is achieved by empty words or flattery
butter side down,the buttered side down view of life is one that is pessimistic and fatalistic
butter wouldnt melt in his mouth,prim and proper with a cool demeanour
by and large,on the whole generally speaking all things considered
by dint of,by means of as a result of  especially by the means of force
by gum,exclamation of surprise this is an example of a mincedoath and is a euphemism for by god
by hook or by crook,to do something by hook or by crook is to do it by whatever means are necessary  be they fair or foul
by the board,finished with as in thrown overboard
by the book,"correctly according to
the rules"
by the short hairs,to be caughtgotheld by the short hairs or in the uk equivalent  by the short and curlies is to be trapped by an opponent in a position one cant easily escape from
by the skin of your teeth,narrowly barely usually used in regard to a narrow escape from a disaster
by your leave,without even asking for permission
bygones be bygones  let,to let bygones be bygones is to allow the unpleasant things that have happened in the past  be forgotten
caesar salad,the name of a salad typically consisting of cos lettuce garlic croutons and anchovies dressed with olive oil lemon juice and parmesan cheese
call a spade a spade,to call a spade a spade is to speak plainly  to describe something as it really is
call of the wild  the,the appeal of nature in the raw
camera cannot lie  the,literal meaning
cant be overestimatedcant be underestimated,there has always been some muddling up of the words overestimate and underestimate the use of the negative in the expressions cant be overunderestimated makes it easy to slip up also the fact that when you use either phrase the context of what you are saying usually makes your meaning clear many speakers and the people they are speaking to just dont bother to check
cant hold a candle to,"the expression cant hold a candle to refers to someone who
compares badly to an known authority  to be unfit even to hold a subordinate position"
canteen culture,the colloquial name for the conservative and discriminatory attitudes held by some sections of the british police forces
canterbury pace,the pace of mounted pilgrims
carbon footprint,the amount of carbon dioxide co2 emitted during an industrial or domestic process a measure of how that process contributes toward global warming
carey street  on,"euphemism
for being bankrupt or in debt"
carpe diem,carpe diem is usually translated from the latin as seize the day however the more pedantic of latin scholars may very well seize you by the throat if you suggest that translation
carry coals to newcastle,to do something pointless and superfluous
cart before the horse  put the,reverse the accepted or logical order of things
carte blanche,having free rein to choose whatever course of action you want
cash on the nail,payment made immediately
neer cast a clout till may be out,with most phrases and sayings the meaning is well understood but the origin is uncertain with this one the main interest is the doubt about the meaning so this time well have the origin first
cast the first stone,be the first to attack a sinner the implication in jesus teaching was that the members of the congregation were only in a position to condemn a sinner if they were without sin themselves  in other words judge not lest you be judged
cat burglar,a cat burglar is a burglar who enters buildings by extraordinarily skilful feats of climbing
cat got your tongue,has the cat got your tongue is a lighthearted question addressed to someone who is inexplicably silent
cat may look at a king  a,an inferior isnt completely restricted in what they may do in the presence of a superior
cat out of the bag  let the,to let the cat out of the bag is to disclose a secret either deliberately or inadvertently
catbird seat  in the,"in
a superior or advantageous position"
catch 22,catch22 is a paradox in which the attempt to escape makes escape impossible
cats cradle,a boxlike shape which is made by from twisting a loop of string around their fingers it is usually played by two players although some variations may be played by one
cats pajamas  the,if something is said to be the cats pajamas it is excellent  the highest quality
caught in a cleft stick,in a position where advance and retreat are both impossible in a fix
caught by the short hairs,to be caughtgotheld by the short hairs or in the uk equivalent  by the short and curlies is to be trapped by an opponent in a position one cant easily escape from
caught redhanded,to be caught redhanded is to be caught in the act of committing a misdemeanour with the evidence there for all to see
chain is only as strong as its weakest link  a,the proverb a chain is only as strong as its weakest link has a literal meaning although the weakest link referred to is figurative and usually applies to a person or technical feature rather than the link of an actual chain
chaise lounge,a chaise lounge is the american name of a form of sofa with a backrest at one end only elsewhere these sofas are called chaise longues
chalk and cheese,two things that are  very different from each other
champ at the bit,be restless and impatient to commence especially during an unwelcome delay
chance would be a fine thing,there is not much chance of that thing welcome though it would be
channel surfing,surfing aka surfboarding is in its literal meaning the riding of a wave while standing or lying on a surfboard
charity begins at home,the proverb charity begins at home expresses the overriding demand to take care of ones family before caring for others
charley horse,leg cramp or stiffness
charm offensive,"a
publicity campaign usually by politicians that attempts to attract supporters
by emphasizing their charisma or trustworthiness"
charmed life,a life of guaranteed good fortune or invulnerability by virtue of a charm or spell
cheap at half the price,of uncertain meaning  see below
cheek by jowl,side by side in close or intimate proximity
cherchez la femme,the translation from the french is look forseek the woman it is used when a man behaves unusually or gets into a quarrel or other difficulty and the reason for it is sought
chew the cud,to chew the cud in a literal sense is for ruminant animals to masticate regurgitated food in a metaphorical sense it is for humans to chat in an aimless manner
chick flick,a film with characterization and storylines that appeal especially to women
chickens come home to roost,bad deeds or words return to discomfort their perpetrator
children should be seen and not heard,literal meaning
chinese whispers,inaccurately transmitted gossip chinese whispers refers to a sequence of repetitions of a story each one differing slightly from the original so that the final telling bears only a scant resemblance to the original
chinless wonder,"a
member of the upper classes  usually male"
chip off the old block,a person or thing that derives from the source or parentage
chip on your shoulder,a chip on your shoulder is a perceived grievance or sense of inferiority
chop and change,to  change ones mind or action again and again
chow down,sit down to eat  similar in meaning to the british term tuck in
christmas box  a,see also our list of christmas card sayings and expressions
christmas card verses,selfmade cards with goodwill verses have been sent by hand or by post for centuries the first thats recognizable as what we now think of as a christmas card that is a printed card sent by post was sent at christmas 1843
clean breast  make a,to make a full disclosure to confess
cleanliness is next to godliness,the proverb cleanliness is next to godliness expresses the idea that those who are pure and wholesome are close to god
clear blue water,originally a term from competitive rowing referring to an obvious gap between the leading boat and those following in more recent years it has been used allusively to mean the discernible distance between the ideologies of two political parties
cleft stick  in a,in a position where advance and retreat are both impossible in a fix
climb on the bandwagon,join a growing movement in support of someone or something often in an opportunist way when that movement is seen to have become successful
cloak and dagger,concerned with or characteristic of espionage or intrigue especially in the context of drama
clog up,to  become obstructed
close but no cigar,the expression close but no cigar is used to indicate that someone has fallen just short of a successful outcome and failed to secure any reward
close quarters,close contact with especially in a military context  close contact with the enemy
close your eyes and think of england,close your eyes and think of england is a reference to unwanted sexual intercourse  specifically advice to an unwilling wife when sexually approached by her husband
cloud cuckoo land,a realm of fanciful or impractical idealistic notions
cloud nine,to be on cloud nine is to be in a state of blissful happiness
club sandwich,a club sandwich is a sandwich of bread sometimes toasted and several other ingredients often chicken or turkey  bacon lettuce tomato and mayonnaise the sandwiches are usually cut into halves or quarters to form small triangles
clue  dont have a,without any knowledge or understanding
clutch at straws,try any route to get out of a desperate situation no matter how unlikely it is to succeed
coals to newcastle  carry,to do something pointless and superfluous
coat of many colours,from the bible genesis 373 king james version
cobblers  a load of,nonsense rubbish
cock a snook,a derisive gesture
cock and bull story,"a
fanciful and unbelievable tale"
cockney rhyming slang,a type of slang in which  words are replaced by  words or phrases they rhyme with
cogito ergo sum,usually translated from the latin as i think therefore i am
coin a phrase,to create a new phrase
cold as any stone,very cold
cold comfort,slight consolation or encouragement in the face of a reverse
cold enough to freeze the balls off a brass monkey,"if its said to be cold enough to freeze the balls off a brass monkey it is very
cold indeed"
cold feet,to get cold feet is to become disheartened or timid losing ones previous enthusiasm or courage
cold shoulder,a display of coldness or indifference intended to wound
cold turkey,the sudden and complete withdrawal from an addictive substance andor the physiological effects of such a withdrawal also predominantly in the usa plain speaking
colder than a witchs tit,colder than a witchs tit is an expressive way of saying very cold  usually in reference to the weather
collywobbles  the,"a
state of intestinal disorder usually accompanied by a rumbling stomach for example butterflies in the stomach"
colour up,to blush or turn red in the face
come a cropper,fall over or fail at some venture
come clean,to make a full disclosure to confess
come on down,the catchphrase used to invite audience members to the stage to become contestants in game shows
come up trumps,to complete something well or successfully especially in circumstances in which it isnt expected
come what come may,let whatever events crop up come to pass
comes to the crunch  when it,when a decisive point at which ones future course is determined
coming in on a wing and a prayer,in a difficult situation relying on meagre resources and luck to get out of it
common sense,good practical sense the natural intelligence that is believed to be available to all rational people
comparisons are odious,literal meaning
compassion fatigue,a weariness of and diminishing public response to frequent requests for charity
complete shambles,a scene of disorder a ruin a mess
concrete overcoat,a jocular reference to a form of coffin alluding to a body being dumped beneath a layer of concrete
cook the books,the deliberate distorting of a firms financial accounts often with the aim of avoiding the payment of tax
cookie cutter,originally a utensil for cutting shaped pieces out of dough more recently characterising a lack of originality
cool as a cucumber,as cool as a cucumber means calm and unruffled
cool britannia,used to describe the contemporary culture of the united kingdom primarily during the 1990s
cop an attitude,adopt an aggressive or antagonistic bearing
cor blimey,cor blimey is an exclamation of surprise
cordon bleu,the rating of cordon bleu is an indication of high quality especially of cooking
cost an arm and a leg,a large possibly exorbitant amount of money
cotton on to,to get to know or understand something
count your chickens before they are hatched,dont be hasty in evaluating ones assets
countenance more in sorrow than in anger  a,literal meaning  a person or thing that displays more  sadness than  anger
counting sheep,counting sheep is  a distraction technique used to help people get to sleep
country bumpkin,an awkward unsophisticated rustic a clown
course of true love never did run smooth  the,literal meaning
crack of doom  the,the sound that heralds the day of the last judgment when god will decree the fates of all men according to the good and evil of their earthly lives
crapper  the,"the
 lavatory"
crocodile tears,to weep crocodile tears is to put on an insincere show of sorrow
crop up,to emerge or occur incidentally or unexpectedly
crown jewels,literally the crown jewels are the state jewellery of the united kingdom in a figurative sense the crown jewels is a slang term for the male genitalia
cry havoc and let slip the dogs of war,the military order havoc was a signal given to the english military forces in the middle ages to direct the soldiery in shakespeares parlance the dogs of war to pillage and chaos
curates egg,something bad that is called good out of politeness or timidity
curiosity killed the cat,inquisitiveness can lead one into dangerous situations
curry favour,to curry favour is to attempt to gain benefit or ingratiate oneself by officious courtesy or flattery
customer is always right  the,the customer is always right is a trading slogan that states a companys keenness to be seen to put the customer first the implied suggestion is that the company is so customer focussed that they will say the customer is right even if they arent
cut and run,run away
cut of your jib  the,ones general appearance and demeanour
cut off your nose to spite your face,to cut off your nose to spite your face is to disadvantage yourself in order to do harm to an adversary
cut the mustard,to succeed to come up to expectations
cut to the chase,get to the point  leaving out unnecessary preamble
cute as a bugs ear,very cute
daft as a brush,to be as daft as a brush is to be very stupid or foolish
damp squib,a damp squib is something that fails ignominiously to satisfy  expectations an anticlimax a disappointment
dance attendance on,to wait upon someone in an overly assiduous or sycophantic manner
daniel come to judgement,someone who makes a wise judgement about something that has previously proven difficult to resolve
darby and joan,darby and joan are an archetypal elderly couple the phrase is used as a general term for old age
dark horse,a dark horse is someone who was previously little known emerges to prominence in a competition
darkest hour  the,the darkest hour is the time when bad events are at their worst and most dispiriting
darkest hour is just before the dawn  the,there is hope even in the worst of circumstances
dark side  the,the evil and malevolent aspect of human personality or society often referred to in a lighthearted or comic context
darling buds of may,an appreciation of what is fresh and new
dash to pieces,break into fragments
date rape,rape by an acquaintance during a social engagement
davy jones locker,the bottom of the sea the mythical resting place of drowned mariners
daylight robbery,blatant and unfair overcharging
dead as a dodo,unambiguously and unequivocally dead
dead as a doornail,to be as dead as a doornail is to be utterly dead  devoid of life when applied to people plants or animals or finished with unusable when applied to inanimate objects
dead cat bounce,a dead cat bounce is a small and temporary recovery in a financial market following a large fall
dead in the water,a dead in the water ship is one that is motionless and without power the figurative expression dead in the water means unable to function without hope of future  success  doomed
dead ringer,"an
exact duplicate"
delusions of grandeur,a false and exaggerated belief about ones status or importance
designer stubble,a short growth of beard aimed to affect a rugged masculine or deliberately unkempt appearance
deus ex machina,something or someone that comes in the nick of time to solve a difficulty especially in works of fiction
devil and the deep blue sea,in difficulty faced with two dangerous alternatives
devil incarnate  the,the devil in human form
devil take the hindmost  the,a proverbial phrase indicating that those who lag behind will receive no aid
devil to pay  the,the devil to pay means serious trouble because of a particular circumstance or obligation
devils advocate,figuratively one who takes a contrary position for the sake of testing an argument or just to be perverse
diamond in the rough,someone who is basically good hearted but lacking social graces and respect for the law
diamond is forever  a,"advertising
slogan for de beers diamonds"
dickybird  not a,not a sound not an utterance
die has been cast  the,"the die has been cast means that an
irrevocable choice has been made"
as  different as chalk and cheese,two things that are  very different from each other
different kettle of fish,a different kettle of fish is an alternative to what has been previously considered a different thing altogether
differently abled,to be differently abled is to be physically or mentally handicapped or disabled but to show qualities that the ablebodied do not have the expression is intended to avoid the perceived negative connotations of the prefix dis in disabled
dirt bag,originally a bag or sack with dirt in it more recently an unkempt or slovenly person
dish fit for the gods  a,an offering of high quality
do unto others as you would have them do to you,literal meaning
dock your pay,make a deduction from a persons pay
doesnt know shit from shinola,someone might be said not to know shit from shinola if they display poor judgment or knowledge
doff your hat,to doff your hat is to raise your hat in acknowledgement of or deference to another
dog days,the dog days are the very hot days during july and august
dog in the manger,"spiteful
 and meanspirited"
dogs bollocks,excellent  the absolute apex in other contexts the word bollocks meaning testicles has a negative connotation for example
dogs breakfast,a confused mess or muddle
dogs dinner,the expression dogs dinner has several meanings
doldrums  in the,in low spirits feeling dull and drowsy
dollars to doughnuts,an outcome that is almost assured a certainty
done a runner,left in a hurry
done to a turn,cooked just right
donkeys years,a very long time
dont call us well call you,dont bother to pursue your application further
dont cast your pearls before swine,items of quality offered to those who arent cultured enough to appreciate them
dont change horses in midstream,dont change your leader or your basic position when partway through a campaign or a project
dont count your chickens before they are hatched,dont be hasty in evaluating ones assets
dont die like i did,no information
dont get mad get even,the proverbial saying dont get mad get even means that when suffering a loss at the hands of another dont waste your energy on anger but work towards redressing the harm done
dont go there,i dont want to discuss that
dont have a clue,without any knowledge or understanding
dont keep a dog and bark yourself,the proverbial saying dont keep a dog and bark yourself is advice that you should not  pay someone to do a task and then do it yourself
dont know shit from shinola,someone might be said not to know shit from shinola if they display poor judgment or knowledge
dont let the bastards grind you down,the meaning of this proverbial saying is self evident
dont look a gift horse in the mouth,the proverbial saying dont look a gift horse in the mouth means dont be ungrateful when you receive a gift
dont shut the stable door after the horse has bolted,dont waste time taking precautions when the damage has already been done
dont throw good money after bad,you throw good money after bad when following the loss of some money you to incur a further loss in trying to make good
dont throw the baby out with the bathwater,dont discard something valuable along with something undesirable
dont try to teach your grandma to suck eggs,dont offer advice to someone who has more experience than oneself
doom and gloom,a feeling of pessimism and despondency often with regard to business or political prospects
double cross,an act of treachery perpetrated on a previous partner in a deceit
double double toil and trouble fire burn and cauldron bubble,from shakespeares macbeth 1605
double dutch,nonsense gibberish  a language one cannot understand
double entendre,a figure of speech in which a phrase can be understood in two ways  one of them risquã© commonly used  to convey sexual puns
double standard,a double standard is a rule which is applied more strictly to one group than to another
double whammy,a double blow or setback
down in the dumps,unhappy depressed
down to the wire,referring to the decisive moment at the very end of a close contest
down the pan,if something has gone down the pan it is wasted and unrecoverable
down the tubes,wasted and unrecoverable
drag race,a race between road vehicles  usually two vehicles over a quarter mile straight track and from a standing start the race is essentially a competition to determine which vehicle has the greater acceleration
dragged through a hedge backwards,said to someone who is unkempt and whose hair needs brushing
draw a blank,to fail to recall a memory or fail in some speculative effort
draw your horns in,restrain ones ardour lower ones ambitions
dreams of empire,the aimless longing for glory
dressed to the nines,to be dressed to the nines is to be dressed flamboyantly or smartly
drink like a fish,to drink like a fish is to drink heavily especially of alcoholic drink
driving while black,an ironic name for the imagined crime of being a black driver
dropdead gorgeous,breathtakingly beautiful
drop in the bucket  a,a drop in the bucket is a very small and insignificant proportion of the whole
dropping like flies,falling down ill or dead in large numbers
drummed out of the army,dismissed from army service to the sound of a drum
ducks and drakes,to behave recklessly to idly squander ones wealth
dumb blonde,a conspicuously attractive but stupid blonde woman
dust up,"a
 fight"
dutch  my old,an affectionate term for wife
dutch courage,confidence gained from being drunk
duvet day,a duvet day is a paid days work in which the employee is allowed to stay at home for rest and relaxation
ear candy,music with an instant appeal but with little lasting significance
early bird catches the worm  the,success comes to those who prepare well and put in effort
early to bed and early to rise makes a man healthy wealthy and wise,literal meaning
east west homes best,this proverbial saying express the idea that wherever you travel in the world your home is the best place to be
easy as pie,very easy
eat drink and be merry,from the bible ecclesiastes viii 15 king james version
eat humble pie,act submissively and apologetically especially in admitting an error
eat my hat,a display of confidence in a particular outcome for example shes always late if she gets that train ill eat my hat
eaten out of house and home,this is one of the phrases that while having been long attributed to shakespeare was in fact used earlier by others and has now been demoted to popularised by rather than coined by the bard there is a definition of the expression in thomas coopers glossary thesaurus linguae romanae britannicae 1578
economical with the truth,conveying an untrue version of events by leaving out the important facts a euphemism for lying in short
eeny meeny miny mo,the first line of a popular childrens counting rhyme
egg on,to egg someone on is to encourage them and urge them forward
eighty six,this little term originally meant that a restaurant had run out of an item that was on the menu
elementary my dear watson,the supposed explanation that sherlock holmes gave to his assistant dr watson when explaining deductions he had made
elephant in the room,an important and obvious topic which everyone present is aware of but which isnt discussed as such discussion is considered to be uncomfortable
elvis has left the building,the expression elvis has left the building was originally a literal announcement that elvis presely had left after a show it later took on a more general meaning of the show is over theres nothing more to say
emperors new clothes,the label given to any fictional item that viewers have been induced into believing as real
end of story,the talking is over  theres no more to be said
ends of the earth   the,the furthest reaches of the land
enough is as good as a feast,to get enough is enough is to come off worst in a bargain or contest
enough is enough,to get enough is enough is to come off worst in a bargain or contest
englishmans home is his castle,the english dictum that a mans home is his refuge
eponymous phrases,no information
et tu brute,et tu brute are supposedly the dying words of julius caesar they translate from latin as you too brutus
ethnic cleansing,the expression ethnic cleansing is a  euphemism for the ruthless removal or killing of an ethnic or religious group from areas that have been taken over by opposing forces
even at the turning of the tide,the turning of the tide is literally the change of the tide from incoming to outgoing or viceversa normally the phrase is used to denote some change from a previously stable course of events
every cloud has a silver lining,the proverbial saying every cloud has a silver lining is used to convey the notion that no matter how bad a situation might seem there is always has some good aspect to it
everybody out,an injunction to workers to down tools come out on strike
exceedingly well read,erudite and literate
exception that proves the rule  the,normally with these meanings and origins the meaning is wellunderstood or selfevident and the interesting aspect is how where and when the phrase originated this one is a little different  its the meaning that is generally not understood
excuse me while i kiss this guy,a misheard lyric
excuse my french,please forgive my swearing
extraordinary rendition,a procedure whereby criminal suspects are sent for interrogation from one country to a second country where less strict laws governing interrogation apply
eye candy  see ear candy,music with an instant appeal but with little lasting significance
eye of newt and toe of frog wool of bat and tongue of dog,the archetypal recipe for spells and enchantments
face that launched a thousand ships  the,a reference to the mythological figure helen of troy or some would say to aphrodite her abduction by paris was said to be the reason for a fleet of a thousand ships to be launched into battle initiating the trojan wars
face the music,accept the unpleasant consequences of ones actions
faff about,dither ineffectually
fag end,the  remnant of something especially the part left after the best part has been used
failing to plan is planning to fail,literal meaning
fair and square,honest and straightforward especially of business dealings
fair dinkum,honest genuine fair play
fair exchange is no robbery,an exchange of two things of equal value is a reasonable and honest trade
fair play,fair play is the properly conducted conditions for a game giving all participants an equal chance the expression is also used more widely to mean fairness and justice in contexts other than games
fair to middling,slightly above average
fairytale ending,a perfect joyful and  simplistic ending  to a story like those often found in fairy tales
fait accompli,an accomplished fact an action which is completed before those affected by it are in a position to query or reverse it
faith will move mountains,faith is immensely powerful
fall from grace,to fall from position of high esteem
fall guy,a scapegoat one who takes on the responsibilities or workload of others here fall is used with the criminal slang meaning of arrest or period in prison more recently it has also come to mean a person who is easily duped or outmanoeuvred
fall off the back of a lorry,a euphemism for acquired illegally
fall on your sword,to fall on your sword is literally to commit suicide or figuratively to offer your resignation
famous for fifteen minutes,this is a wellknown as a quotation from andy warhol it does derive from warhol  his actual line was in the future everybody will be world famous for fifteen minutes
famous last words dying statements of famous people  a list,no information
famous last words the ironic phrase,famous last words might be used ironically when a remark or prediction  is likely to be proved wrong by events no one is suggesting that  death might be the result merely a mild inconvenience for example
fancy free,to be fancy free is to be without any ties or commitments
fancy pants,overly elaborate swanky or pretentious  especially of dress also applied to people who act in that manner
far be it from me,a disassociation from something  god forbid that i should  do that thing
far from the madding crowd,a quiet and rural place
fashion victim,someone who slavishly follows fashion trends
the word fast and phrases that derive from it,stable and firmly fixed in  place not easily moved
fast and loose,be inconstant and unreliable
fast asleep,soundly asleep
fathom out,to ascertain something to deduce from the facts
the fat of the land,living well fed by abundant crops
fate worse than death  a,"any misfortune that would make life unlivable especially rape
 or loss of virginity the phrase was formerly a euphemism for rape"
feather in ones cap  a,a symbol of honour and achievement
fed up,to  have had more than enough of something or someone or to be  bored with or tired of the same
feeding frenzy,an aggressive attack on prey by a group of sharks the resulting boiling and bloody sea results in the sharks wildly attacking any creature nearby  even their own kind
it fell off the back of a truck,a euphemism for acquired illegally
fell swoop  at one,at one fell swoop means suddenly in a single action
fellow traveller,"someone
 sympathetic toward a certain point of view without being a fully paidup member
 of the club"
female of the species is more deadly then the male  the,see also the list of proverbs
fend for yourself,to  fend for yourself is to provide for yourself  to be able to cope with whatever life throws at you the expression is usually applied to youngsters animal or human who have previously been taken care of by their parents
fend off,to  fend off is to resist to keep someone or something from coming near
fiddling while rome burns,to occupy oneself with unimportant matters and neglect priorities during a crisis
fie foh fum i smell the blood of an englishman,a nonsense rhyme usually heard as part of the jack the giant killer fable
field day,a day of excitement or a circumstance of opportunity
fifteen minutes of fame,this is a wellknown as a quotation from andy warhol it does derive from warhol  his actual line was in the future everybody will be world famous for fifteen minutes
fifth column,infiltrators or collaborators with the enemy
fight fire with fire,respond to an attack by using a similar method as ones attacker
fight the good fight,an evangelical call to believe in and spread the christian faith
filthy rich,very rich possibly having become so by unfair means
finagles law,the socalled law is usually expressed as if anything can go wrong it will
fine as frogs hair,extremely fine that is delicate and slender
fine words butter no parsnips,the proverb fine words butter no parsnips means that nothing concrete is achieved by empty words or flattery
finger lickin good,excellent  especially of food known primarily as the slogan of the kfc food chain
fingers and thumbs,clumsy unable to hold things steadily in ones hands all fingers and thumbs is how we might describe ourselves during a temporary loss of manual dexterity
first dibs,first dibs is an exclamation that is used primarily by children but also by adults to establish a claim on something the first person to call out dibs or first dibs has the option on the first use or the ownership of the item claimed
first water,of the highest quality
first world,"originally the term referred just to the usa
 see origin below but now is understood to mean the most industrially
 developed wealthy and powerful nations of the world these
 countries are often referred to loosely as the west although
 the first world certainly includes japan and australia"
fish rot from the head down,when an organization or state fails it is the leadership that is the root cause
fish or cut bait,there is some uncertainty about the precise meaning of this phrase some use it to mean make a choice about what you intend to do others have it that it means either get to work in a productive manner or do something else and let someone else work the second meaning which i favour and which is more common is similar in meaning to put up or shut up or the 20th century us vulgarism shit or get off the pot
fish out of water  a,someone who is in a situation they are unsuited to
fit as a fiddle,to be as fit as a fiddle is to be very fit and well
fifth estate,the fifth power in the land
fits and starts,spasmodically at irregular intervals
fits to a tee,if something is said to fit to a t it fits exactly properly precisely
five oclock shadow,beard regrowth that darkens a mans features late in the day following a morning shave
flash in the pan,something which disappoints by failing to deliver anything of value despite a showy beginning
flat out,using all of ones efforts at top speed
flavor of the month,something that is prominent in the public eye for a short time then fades out of interest originally a term of approval for something that was up to the minute and desirable it has been used ironically from the late 20th century to pass disdainful comment on things which pass out of fashion quickly for example the one hit wonders of the music business
flesh and blood,ones flesh and blood may refer to ones family or may denote all mankind it is also used to denote the living material of which people are mostly composed
flogging a dead horse,to flog a dead horse is to attempt to revive an interest which has died out  to engage in fruitless effort
floozie in the jacuzzi  the,the floozie or floosie or floozy in the jacuzzi is the nickname of the bronze statue properly called anna livia previously in oconnell street dublin ireland it personifies the river liffey which passes nearby
flotsam and jetsam,ships goods which are lost at sea also used figuratively in nonnautical contexts to means odds and ends bits and pieces
fly by the seat of ones pants,to fly by the seat of your pants is to decide a course of action as you go along using your own initiative and perceptions rather than a predetermined plan or mechanical aids
fly in the ointment,a fly in the ointment is a small but irritating flaw that spoils the whole in the 20th century the expression has also come to be used to describe a small flaw that comes to light to spoil  an otherwise faultless plan
fly off the handle,lose self control
fly on the wall,alludes to the position of being able to freely observe a situation without being oneself noticed
foam at the mouth,display furious rage
fobbed off,to put off deceitfully to attempt to satisfy with   something of inferior quality or something less than one has been led to expect
folk etymology  the nonsense nine,people like to retell stories about the origin of some phrase or other i get mail phone calls posts on facebook
fool and his money are soon parted  a,literal meaning
fools rush in where angels fear to tread,the rash or inexperienced will attempt things that wiser people are more cautious of
fools errand,a pointless undertaking
